*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28266312,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,12,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266312,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,12,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266143,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,11,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266143,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,11,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266004,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,10,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266004,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,10,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265832,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,9,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265832,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,9,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265665,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,8,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265665,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,8,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
